year,Canada,Mexico,US,total NA,Argentina,Brazil,Colombia,Ecuador,Peru,Trinidad & Tobago,Venezuela,Other S. & Cent. America,total CA MA,Denmark,Italy,Norway,Romania,United Kingdom,Other Europe,toral Eur,Azerbaijan,Kazakhstan,Russian Federation,Turkmenistan,USSR,Uzbekistan,Other CIS,total CIS,Iran,Iraq,Kuwait,Oman,Qatar,Saudi Arabia,Syria,United Arab Emirates,Yemen,Other Middle East,total MidEast,Algeria,Angola,Chad,Republic of Congo ,Egypt,Equatorial Guinea,Gabon,Libya,Nigeria,South Sudan,Sudan,Tunisia,Other Africa,total Africa,Australia,Brunei,China,India,Indonesia,Malaysia,Thailand,Vietnam,Other Asia Pacific,total AsiaPacific
1965,920,362,9014,10296,276,96,203,8,66,135,3503,47,4334,n/a,48,n/a,266,2,470,786,n/a,n/a,n/a,n/a,4858,n/a,-,4858,1908,1313,2371,n/a,233,2219,n/a,282,n/a,61,8387,570,13,n/a,1,126,n/a,25,1220,274,n/a,n/a,n/a,2,2232,7,80,227,62,486,1,n/a,n/a,35,899
1966,1012,370,9579,10961,293,117,199,7,66,153,3402,54,4291,n/a,39,n/a,271,2,487,798,n/a,n/a,n/a,n/a,5302,n/a,-,5302,2132,1392,2505,n/a,291,2618,n/a,360,n/a,66,9364,734,13,n/a,1,122,n/a,29,1508,418,n/a,n/a,16,2,2842,9,96,292,96,474,1,n/a,n/a,34,1002
1967,1106,411,10219,11736,319,147,192,6,74,179,3576,78,4571,n/a,37,n/a,279,2,507,824,n/a,n/a,n/a,n/a,5762,n/a,-,5762,2603,1228,2522,57,324,2825,n/a,382,n/a,73,10014,843,11,n/a,1,109,n/a,69,1733,319,n/a,n/a,47,2,3133,21,104,279,117,510,1,n/a,n/a,31,1063
1968,1194,439,10600,12233,348,161,176,5,77,191,3639,85,4682,n/a,35,n/a,280,2,518,834,n/a,n/a,n/a,n/a,6167,n/a,-,6167,2840,1503,2656,241,340,3081,21,497,n/a,78,11256,922,15,n/a,1,166,n/a,93,2599,141,n/a,n/a,67,2,4007,39,122,320,120,599,4,n/a,n/a,35,1240
1969,1306,461,10828,12595,362,176,214,4,75,157,3631,84,4702,n/a,34,n/a,281,2,530,847,n/a,n/a,n/a,n/a,6566,n/a,-,6566,3376,1521,2819,327,356,3262,53,628,n/a,78,12420,969,50,n/a,^,239,n/a,101,3108,540,n/a,n/a,78,1,5087,45,124,437,139,642,9,n/a,n/a,36,1432
1970,1473,487,11297,13257,399,167,226,4,75,140,3754,64,4829,n/a,32,n/a,284,4,528,847,n/a,n/a,n/a,n/a,7127,n/a,-,7127,3848,1549,3036,332,363,3851,85,780,n/a,79,13922,1054,103,n/a,^,319,n/a,109,3357,1083,n/a,n/a,87,1,6113,176,136,616,140,854,18,n/a,n/a,40,1979
1971,1582,486,11156,13224,432,175,224,4,64,129,3615,80,4723,n/a,29,6,292,5,509,841,n/a,n/a,n/a,n/a,7610,n/a,-,7610,4572,1694,3253,294,430,4821,106,1060,n/a,76,16306,803,116,n/a,^,291,n/a,116,2750,1531,n/a,n/a,87,^,5694,315,129,791,148,892,69,n/a,n/a,42,2387
1972,1829,506,11185,13520,444,171,203,78,67,141,3301,89,4494,2,25,33,298,8,504,871,n/a,n/a,n/a,n/a,8064,n/a,-,8064,5059,1466,3339,282,482,6070,117,1203,n/a,71,18089,1081,143,n/a,6,208,n/a,126,2248,1816,n/a,n/a,84,1,5712,337,182,915,152,1081,93,n/a,n/a,44,2804
1973,2114,525,10946,13585,434,174,192,209,73,166,3455,90,4792,3,23,32,304,9,509,880,n/a,n/a,n/a,n/a,8664,n/a,-,8664,5907,2018,3080,293,570,7693,111,1533,n/a,69,21274,1129,166,n/a,41,165,n/a,152,2211,2054,n/a,n/a,82,1,6000,424,231,1077,148,1338,91,n/a,n/a,47,3356
1974,1993,653,10461,13107,423,182,175,177,79,187,3060,86,4369,2,23,35,308,10,510,888,n/a,n/a,n/a,n/a,9270,n/a,-,9270,6060,1977,2603,290,518,8618,129,1679,n/a,68,21941,1046,173,n/a,48,145,n/a,204,1558,2255,n/a,n/a,87,1,5517,420,198,1302,155,1375,81,n/a,n/a,47,3578
